area_type,availability,location,size,society,dist_mainroad,street_type,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Chikkabanavar,4 Bedroom,,12,Gravel,2460,7.0,2.0,80.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,,200,Gravel,1190,2.0,2.0,41.0
Plot  Area,Ready To Move,Tavarekere,7 Bedroom,,113,Paved,1200,5.0,2.0,180.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,150,Gravel,1636,3.0,2.0,92.0
Super built-up  Area,18-Dec,Hennur Road,2 BHK,Shxorm ,134,No Access,1195,2.0,2.0,73.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,160,No Access,2400,3.0,3.0,251.0
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,,134,Gravel,1250,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,183,Paved,1452,3.0,,90.0
Super built-up  Area,19-Dec,Thanisandra,3 BHK,Bhe 2ko,49,Paved,1546,3.0,1.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Cetattu,168,No Access,3307 - 3464,6.0,0.0,142.0
Plot  Area,Ready To Move,Indira Nagar,3 Bedroom,,101,Gravel,1440,3.0,1.0,275.0
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,180,Paved,2260,3.0,1.0,80.0
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,,52,Gravel,2700,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,190,Gravel,1475,2.0,2.0,171.0
Built-up  Area,Ready To Move,JP Nagar,4 BHK,Arentra,195,No Access,3000,3.0,2.0,150.0
Built-up  Area,Ready To Move,KG Halli,1 Bedroom,,186,Gravel,375,1.0,0.0,26.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,37,Paved,1007,2.0,1.0,66.0
Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,,32,Gravel,1.26Acres,1.0,0.0,125.0
Super built-up  Area,Ready To Move,Cubbon Road,4 BHK,,149,Gravel,5422,6.0,,1900.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,55,No Access,1020,2.0,3.0,47.0
Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,,114,Paved,1000,2.0,0.0,150.0
Plot  Area,Ready To Move,Varanasi,2 Bedroom,,154,Gravel,800,3.0,1.0,59.5
Plot  Area,Ready To Move,Geddalahalli,5 Bedroom,,37,Paved,1200,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,17,Paved,1125,2.0,3.0,55.0
Plot  Area,Ready To Move,Kudlu Gate,9 Bedroom,,171,Paved,1150,9.0,,140.0
Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,CoaveAt,41,Paved,909,2.0,1.0,43.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,,144,No Access,2850,5.0,0.0,240.0
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Ciques ,187,Gravel,1400,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,,95,Gravel,1152,2.0,2.0,61.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,,27,Gravel,958,2.0,1.0,34.49
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,155,Paved,1150,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,124,No Access,2990,5.0,1.0,173.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,148,Paved,1310,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,181,Gravel,1590,2.0,2.0,126.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,128,Paved,1645,3.0,2.0,110.0
Built-up  Area,Ready To Move,Veerabhadra Nagar,3 Bedroom,,50,Paved,1800,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,29,Gravel,1795,3.0,2.0,150.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,92,No Access,1100,2.0,3.0,35.0
Super built-up  Area,18-Nov,Thanisandra,1 BHK,Bhe 2ko,131,Paved,620 - 934,1.0,0.0,38.535
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,11,Gravel,925,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,,29,No Access,1542.14,3.0,3.0,120.0
Plot  Area,Ready To Move,Konanakunte,4 Bedroom,Prasa W,61,Paved,3746,6.0,1.0,375.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,114,No Access,1430,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Bommanahalli,2 BHK,Jaw 2 L,63,No Access,1020,2.0,2.0,55.0
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,4 Bedroom,,52,No Access,750,2.0,1.0,42.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,163,Gravel,1140,2.0,1.0,32.92
Built-up  Area,Ready To Move,Anekal,3 BHK,,13,No Access,967,2.0,1.0,45.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,10,Gravel,2470,4.0,2.0,203.0
Built-up  Area,Ready To Move,Maruthi Nagar,2 BHK,PavanSa,20,No Access,850,1.0,0.0,35.5
Super built-up  Area,Ready To Move,Vidhyanagar Cross,2 BHK,,13,No Access,1100,2.0,2.0,32.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,135,Gravel,1697,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,,37,Paved,1250,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Pridei ,123,Gravel,1120,2.0,2.0,50.0
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,,35,Gravel,1200,4.0,0.0,95.0
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,,96,Paved,5100,6.0,3.0,375.0
Plot  Area,Ready To Move,7th Block Jayanagar,4 Bedroom,,109,Gravel,2400,3.0,2.0,480.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,68,No Access,1200,2.0,1.0,52.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,30,Paved,1100,2.0,1.0,44.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,,137,Paved,1417,2.0,2.0,76.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,68,Paved,1492,3.0,1.0,88.0
Super built-up  Area,22-Nov,Devanahalli,3 BHK,Sabixtt,43,No Access,1498,3.0,3.0,79.15
Built-up  Area,Ready To Move,Bellari Road,4 BHK,Sohid O,83,Paved,3500,2.0,1.0,350.0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,112,Gravel,1010,2.0,1.0,48.27
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,174,Gravel,1255,2.0,2.0,53.5
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,38,No Access,1050,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,169,Paved,1847,3.0,2.0,125.0
Super built-up  Area,18-May,1st Stage Indira Nagar,2 BHK,,169,Paved,1200,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,168,Gravel,982,2.0,2.0,37.28
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,137,Gravel,2144.6,4.0,2.0,145.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBeriav,28,No Access,750,2.0,1.0,36.5
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,197,No Access,919,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,162,Gravel,1087,2.0,1.0,54.3
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,Bustain,37,No Access,1480,3.0,2.0,74.0
Built-up  Area,Ready To Move,Tindlu,2 BHK,,200,No Access,1180,2.0,2.0,52.0
Super built-up  Area,Ready To Move,6th Block Jayanagar,3 BHK,,97,Paved,2100,4.0,2.0,255.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,29,Paved,1221,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,161,No Access,1194,2.0,2.0,46.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,MSureRR,7,No Access,2072,3.0,2.0,122.0
Built-up  Area,18-Dec,Whitefield,3 BHK,,110,Gravel,1600,3.0,2.0,69.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,,148,No Access,2200,3.0,2.0,98.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,58,Paved,1640,3.0,3.0,220.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,41,No Access,1253,2.0,2.0,81.5
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,103,Paved,1061,2.0,1.0,54.92
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,36,Gravel,1950,3.0,2.0,115.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Suvals ,156,Paved,1250,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,MItatHa,194,Paved,1585,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,103,Paved,1452,3.0,3.0,60.98
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prncy R,108,Paved,1015,2.0,2.0,37.0
Super built-up  Area,19-Aug,Begur Road,4 BHK,Pruthg ,186,Paved,2462 - 2467,6.0,0.0,118.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,147,Paved,1125,2.0,2.0,56.8
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,MJtroty,176,Gravel,1116,2.0,2.0,40.0
Built-up  Area,Ready To Move,Kadarenahalli,1 Bedroom,,117,Gravel,400,1.0,0.0,35.0
Super built-up  Area,Ready To Move,Kasavanhalli,4 BHK,Vaidsi ,187,Paved,4000,4.0,2.0,325.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,1,Paved,3900,4.0,2.0,410.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,67,Paved,1300,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,153,Paved,1419,2.0,1.0,60.42
Super built-up  Area,Ready To Move,Punappa Layout,3 BHK,DSionhe,98,Paved,1310,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,57,Gravel,2072,4.0,2.0,152.0
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,KKersow,129,No Access,1240,2.0,1.0,58.58
Built-up  Area,Ready To Move,Chamrajpet,3 BHK,,96,Paved,1565,3.0,2.0,98.91
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,131,No Access,1820,3.0,2.0,89.0
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,,177,Paved,2500,3.0,1.0,88.0
Plot  Area,Ready To Move,KR Puram,5 Bedroom,Skdia A,22,Gravel,3657,5.0,,310.0
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,95,No Access,1245,2.0,1.0,62.0
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,MSuntra,86,Gravel,1315,3.0,1.0,65.0
Super built-up  Area,Ready To Move,Kenchenahalli,3 BHK,Unateit,45,Gravel,1410,2.0,2.0,73.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Indesve,51,Gravel,1375,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,30,No Access,1299,2.0,2.0,95.0
Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,Pancy R,177,Paved,993,2.0,3.0,45.5
Plot  Area,Ready To Move,Bommasandra Industrial Area,2 Bedroom,,170,Paved,1200,3.0,0.0,45.0
Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,,175,Paved,985,2.0,1.0,156.0
Built-up  Area,Ready To Move,4th Block Koramangala,4 Bedroom,,191,Gravel,2400,5.0,3.0,180.0
Super built-up  Area,18-Nov,Hebbal,3 BHK,Magiaya,29,No Access,1255,2.0,1.0,95.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,155,Paved,1655,3.0,2.0,131.0
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,38,No Access,2830,5.0,3.0,190.0
Super built-up  Area,Ready To Move, Sector 1 HSR Layout,1 BHK,,108,Gravel,6000,1.0,1.0,276.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,193,No Access,550,1.0,1.0,15.0
Super built-up  Area,Ready To Move,Balaji Gardens Layout,1 BHK,,99,Gravel,825,2.0,1.0,40.0
Super built-up  Area,20-Aug,Begur Road,3 BHK,Pruthg ,143,Paved,1634,3.0,1.0,111.0
Plot  Area,Ready To Move,Kogilu,8 Bedroom,,136,Paved,1200,6.0,3.0,105.0
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,146,No Access,1222,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Pridei ,114,No Access,1500,3.0,2.0,63.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,52,Paved,1890,4.0,2.0,100.0
Built-up  Area,Ready To Move,Hegde Nagar,4 Bedroom,Sotosty,0,Gravel,3750,6.0,2.0,375.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,52,Gravel,850,1.0,1.0,39.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,195,Paved,1295,2.0,3.0,78.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSndsod,13,Gravel,1320,2.0,1.0,100.0
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,,107,No Access,950,3.0,3.0,179.0
Plot  Area,Ready To Move,Hebbal,4 Bedroom,,98,Paved,1200,4.0,2.0,225.0
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,138,No Access,3000,3.0,3.0,170.0
Built-up  Area,Ready To Move,Harlur,2 BHK,,144,No Access,1197,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Hoysalanagar,3 BHK,,155,Gravel,1320,2.0,3.0,60.0
Plot  Area,Ready To Move,Billekahalli,5 Bedroom,,150,Paved,1180,5.0,2.0,98.5
Super built-up  Area,20-Dec,Whitefield,1 BHK,Oreldhi,42,Paved,840,1.0,1.0,57.6
Super built-up  Area,20-Dec,Whitefield,1 BHK,Somns T,141,No Access,540 - 740,1.0,0.0,19.83
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,119,Paved,1693,3.0,1.0,71.38
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,,38,Paved,1000,2.0,1.0,62.0
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,AReenui,102,No Access,1305,2.0,1.0,70.0
Built-up  Area,Ready To Move,Kodichikkanahalli,1 BHK,Jae 1ke,60,Paved,450,1.0,1.0,18.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1 BHK,Pu270a ,182,No Access,705,1.0,1.0,57.0
Super built-up  Area,Ready To Move,Ilyas Nagar,4 BHK,,150,Gravel,750,6.0,2.0,75.0
Built-up  Area,Ready To Move,Tumkur Road,5 Bedroom,,12,Gravel,4800,5.0,2.0,150.0
Built-up  Area,Ready To Move,Koramangala Industrial Layout,4 Bedroom,,40,Paved,5000,5.0,,600.0
Plot  Area,Ready To Move,Gubbalala,4 Bedroom,,172,Gravel,5000,4.0,3.0,425.0
Built-up  Area,18-Dec,Whitefield,3 BHK,,140,Paved,1991,3.0,2.0,104.0
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,62,No Access,1779,3.0,2.0,90.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,30,Gravel,10200,4.0,1.0,1250.0
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,RailsDa,18,Paved,870,2.0,2.0,38.0
Super built-up  Area,18-May,Thanisandra,3 BHK,Bhmesy ,20,Paved,1595,3.0,2.0,120.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,120,Gravel,525,1.0,1.0,26.0
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,,164,Gravel,945,5.0,2.0,120.0
Plot  Area,18-Apr,Basaveswarnagar,6 Bedroom,,123,No Access,2400,4.0,2.0,420.0
Super built-up  Area,18-Dec,Iblur Village,3 BHK,DNionfl,164,Gravel,2000,4.0,2.0,138.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCarkna,171,Paved,1614,3.0,2.0,93.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,,87,Paved,1200,2.0,3.0,40.0
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,Sravehi,9,Gravel,1150,3.0,3.0,46.0
Super built-up  Area,Ready To Move,Indira Nagar,4 BHK,,125,No Access,3200,4.0,,440.0
Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,Skacak ,106,Gravel,1610,3.0,2.0,80.48
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,97,Paved,1190,2.0,2.0,41.0
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,SMncyy ,103,Gravel,1050,2.0,2.0,50.0
Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,142,Paved,4800,5.0,2.0,420.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,93,No Access,1460,2.0,1.0,97.0
Super built-up  Area,Ready To Move,Jaymahal Road,3 BHK,,182,No Access,3400,3.0,3.0,400.0
Plot  Area,Ready To Move,Naganathapura,1 Bedroom,,90,No Access,600,1.0,0.0,33.0
Built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,15,Paved,1569,3.0,0.0,70.0
Built-up  Area,18-Dec,"Off Sarjapur Road, ",3 Bedroom,,20,No Access,2600,3.0,2.0,147.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,Shiaa S,85,No Access,645,1.0,0.0,42.5
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,4 Bedroom,,37,Paved,1200,3.0,1.0,180.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,,35,Paved,800,3.0,0.0,95.0
Built-up  Area,Ready To Move,Mico Layout,2 Bedroom,,200,Gravel,800,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,28,Gravel,1350,2.0,1.0,90.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,172,Paved,2780,4.0,1.0,325.0
Super built-up  Area,18-Mar,Rajarajeshwari Nagara,3 BHK,,186,No Access,1410,2.0,2.0,45.12
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,191,Paved,1109,2.0,1.0,35.47
Super built-up  Area,Ready To Move,Vasanth nagar,4 BHK,LeeyaCa,9,Gravel,2000,3.0,2.0,1063.0
Built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,,61,Gravel,800,1.0,0.0,72.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,81,Paved,1215,2.0,1.0,68.0
Plot  Area,Ready To Move,Basaveshwara Nagar,8 Bedroom,,86,Gravel,1230,6.0,0.0,250.0
Built-up  Area,Ready To Move,Prithvi Layout,3 Bedroom,Prigh L,141,No Access,2273,4.0,2.0,192.0
Super built-up  Area,18-Aug,Varthur Road,2 BHK,,174,Gravel,1255,2.0,2.0,52.76
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,,43,Paved,1020,2.0,1.0,49.0
Super built-up  Area,18-Jul,T R Mill Road,3 BHK,,191,Paved,1225,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,,116,Gravel,1120,2.0,1.0,60.0
Plot  Area,Ready To Move,Victoria Layout,5 Bedroom,,146,Gravel,2400,5.0,3.0,625.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Conixt ,167,No Access,1225,2.0,1.0,69.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,UKe 2nz,18,Paved,5200,5.0,3.0,242.0
Built-up  Area,Ready To Move,Indira Nagar,4 BHK,,38,Gravel,4000,4.0,1.0,700.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,155,Paved,1984,4.0,1.0,145.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,46,Gravel,2425,3.0,1.0,197.0
Plot  Area,18-Sep,ITPL,3 Bedroom,,189,No Access,1200,3.0,1.0,56.12
Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,42,Gravel,1127,2.0,1.0,45.0
Built-up  Area,18-Jun,Whitefield,3 BHK,,48,Gravel,1655,3.0,2.0,97.0
Super built-up  Area,18-Aug,Ananth Nagar,1 BHK,,44,No Access,500,1.0,1.0,14.0
Plot  Area,18-Jul,Varthur,3 Bedroom,,80,Gravel,1200,3.0,1.0,68.38
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,P num P,44,No Access,1000,2.0,2.0,43.0
Super built-up  Area,18-Jul,CV Raman Nagar,2 BHK,,146,No Access,1225,2.0,2.0,47.88
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hedosme,43,Gravel,1350,2.0,2.0,45.0
Plot  Area,18-Apr,Nagarbhavi,4 Bedroom,,140,Gravel,600,5.0,3.0,95.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Mosom B,144,Gravel,1175,2.0,3.0,49.0
Super built-up  Area,Ready To Move,Sanne Amanikere,1 BHK,Hoxiaa ,106,Paved,655,1.0,2.0,27.0
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,134,Gravel,1311,2.0,1.0,84.86
Plot  Area,Ready To Move,Banashankari Stage VI,3 Bedroom,,15,Paved,600,4.0,0.0,90.0
Carpet  Area,Ready To Move,CV Raman Nagar,2 BHK,Mancyes,52,Paved,1000,2.0,1.0,38.5
Super built-up  Area,Ready To Move,Indira Nagar Stage 2,2 BHK,,61,No Access,1196,2.0,1.0,96.0
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Wiowsri,186,Gravel,1050,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,196,Gravel,1275,2.0,2.0,52.0
Carpet  Area,Ready To Move,Hommadevanahalli,2 BHK,,132,Gravel,927,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,CaestSr,87,Gravel,1520,2.0,3.0,61.0
Plot  Area,Ready To Move,BTM Layout 2nd Stage 1st Phase,4 Bedroom,,177,No Access,2400,5.0,2.0,395.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,101,No Access,1333,2.0,1.0,104.0
Super built-up  Area,18-Mar,Tunganagara,1 BHK,DSdidSp,98,Gravel,600,1.0,0.0,18.0
Super built-up  Area,18-Sep,Abbigere,3 BHK,DSestma,77,Paved,1326,2.0,1.0,34.8
Super built-up  Area,18-Mar,Sarjapur  Road,3 BHK,PualeSk,27,Gravel,1618 - 1929,,,85.125
Built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,121,Gravel,1370,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,KHage G,182,Gravel,1100,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,3,No Access,1650,3.0,3.0,100.0
Super built-up  Area,18-May,Kasavanhalli,3 BHK,,82,Paved,1917,3.0,2.0,132.0
Carpet  Area,Ready To Move,Doddakannelli,3 BHK,,99,Paved,780,3.0,,75.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Raony C,93,Paved,950,2.0,1.0,58.11
Super built-up  Area,Ready To Move,T C Palya main Road,2 BHK,,55,Gravel,1175,2.0,1.0,48.72
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,,195,No Access,1089,2.0,1.0,43.55
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,174,No Access,1804,3.0,2.0,175.0
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Keers S,35,Paved,1257,2.0,1.0,68.5
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,SNityVe,172,Gravel,650,1.0,2.0,19.87
Super built-up  Area,Ready To Move,Whitefield,3 BHK,BrlisCo,58,Paved,1850,3.0,2.0,150.0
Built-up  Area,Ready To Move,Vishwapriya Nagar,4 Bedroom,,134,No Access,2800,4.0,1.0,200.0
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,37,No Access,945,2.0,,40.0
Super built-up  Area,22-Dec,Koramangala,2 BHK,,71,No Access,1161,2.0,1.0,63.85
Super built-up  Area,17-Apr,Banashankari Stage V,3 BHK,Naiewre,77,Paved,1630,3.0,2.0,51.35
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,DSons S,127,No Access,1310,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Lake City,2 BHK,,60,Gravel,750,2.0,1.0,28.0
Plot  Area,18-Sep,Whitefield,3 Bedroom,,30,Gravel,1200,3.0,1.0,67.77
Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,Riave E,65,Paved,1000,2.0,1.0,45.0
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,,160,Paved,4000,4.0,2.0,225.0
Built-up  Area,Ready To Move,Nagavara,2 BHK,,101,Gravel,1315,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,NCensun,56,Gravel,1370,2.0,2.0,90.0
Plot  Area,Ready To Move,Ulsoor,5 Bedroom,,47,No Access,1200,4.0,3.0,150.0
Built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,111,Paved,1465,3.0,3.0,90.0
Plot  Area,Ready To Move,JP Nagar,3 BHK,,122,No Access,20000,3.0,,175.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,148,No Access,1128,2.0,1.0,64.0
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,Silusti,165,Paved,1250,2.0,2.0,70.0
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,5,Paved,1645,3.0,2.0,117.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,176,No Access,1284,2.0,2.0,75.0
Super built-up  Area,18-Mar,Hebbal,3 BHK,SNontle,31,No Access,2600,3.0,2.0,199.0
Super built-up  Area,19-Jun,Kodigehalli,3 BHK,,136,Paved,1820,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,55,Gravel,1580,3.0,1.0,73.0
Built-up  Area,Ready To Move,Akshaya Nagar,3 Bedroom,,114,Paved,2650,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,183,No Access,1215,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,41,No Access,1075,2.0,1.0,40.0
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,JaniaGa,53,Paved,1400,2.0,3.0,78.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,,93,Gravel,1400,2.0,1.0,55.0
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,104,No Access,845,2.0,1.0,30.0
Super built-up  Area,Ready To Move,Hegde Nagar,4 BHK,,92,Paved,2600,4.0,3.0,40.0
Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,Prldsum,89,Paved,3508 - 4201,6.0,0.0,385.5
